PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
GLErI,4kb1r/r6p/pqp1pQpn/3pP3/P7/8/6PP/2R2R1K b k - 1 22,f8g7 f6e6 a7e7 e6c8 b6d8 c8c6 e7d7 e5e6,1755,75,94,2141,crushing deflection exposedKing middlegame veryLong,https://lichess.org/1OluEZSK/black#44,
3qnTr,8/1p2r1kp/pp2rPp1/8/1P3KP1/2P1R2P/P7/4R3 b - - 0 32,g7f6 e3e6 e7e6 e1e6 f6e6 f4g5,2028,78,92,791,crushing endgame long rookEndgame,https://lichess.org/Zy33uSg7/black#64,
pzB6U,r2q3r/Rk5b/1n1p2pP/1PpPp1b1/4Pp2/2B2N1B/QN6/R5K1 b - - 0 34,a8a7 a2a7,847,77,100,158,mate mateIn1 middlegame oneMove,https://lichess.org/rMmzEsyE/black#68,
f0HwV,1qk5/1p1r1pp1/pQ1p3p/B1pP4/P1P1r3/5P1P/6P1/1R4K1 b - - 0 26,e4c4 b1e1 c4c1 e1c1,1733,76,84,126,crushing endgame quietMove short,https://lichess.org/nfx6BJi2/black#52,
eRMZu,8/3R4/1r3pk1/2p1p1r1/4P3/P4PQ1/1P1R1K2/2q5 w - - 4 45,g3h3 c1g1 f2e2 g5g2 h3g2 g1g2,1214,75,96,1444,crushing endgame long,https://lichess.org/qV9gnOjt#89,
IBuSc,8/p6p/8/2pk1p2/2pp1Pp1/P2P2P1/1PPK3P/8 w - - 0 34,d3c4 d5c4 b2b3 c4d5 c2c4 d4c3 d2c3 d5e4,2306,97,90,693,crushing enPassant endgame pawnEndgame veryLong,https://lichess.org/F5bpUFSL#67,
hbCnr,8/8/1R2kpp1/4p1p1/2r5/6PP/5PK1/8 b - - 3 42,e6f5 g3g4 f5e4 b6f6 c4c8 f6g6,1777,82,93,1908,crushing deflection endgame long rookEndgame,https://lichess.org/HMJVBQng/black#84,
dfz65,8/pp3pkp/3B2p1/3p4/3P4/1N1q1P1n/PPr4P/R3Q2K w - - 1 30,d6e5 g7g8 e1g3 h3f2 h1g1 d3e3,2452,76,71,116,advantage defensiveMove long middlegame,https://lichess.org/QDbcs7wo#59,
WLY6f,8/p3k1p1/1p2P3/2np4/2p2r2/2P5/PP2R2P/4R1K1 w - - 0 38,e2f2 f4f2 g1f2 c5d3 f2f1 d3e1,1539,75,95,4116,advantage attraction endgame fork long,https://lichess.org/VI888EVj#75,
9ZcN7,4r1k1/1p3ppp/p7/2bN2n1/8/1P5P/PB6/3R3K b - - 1 28,e8d8 d5f6 g7f6 d1d8,1554,76,93,2168,advantage discoveredAttack endgame short,https://lichess.org/3b9fm5Nz/black#56,
EOdKh,8/3q1pkp/pn1p2p1/3Pp3/pP1bP2P/P2B2P1/3BQP2/5K2 w - - 16 43,d3a6 d7h3 f1e1 h3h1 e2f1 h1e4,1529,74,93,9072,advantage deflection endgame long master,https://lichess.org/vFNTSIxK#85,
6cCzI,2rq1rk1/pb3ppp/1p2pb2/8/2BB4/5N2/PP1Q1PPP/2R1R1K1 b - - 0 15,f6d4 d2d4 b7f3 d4d8,1806,75,82,79,advantage middlegame short,https://lichess.org/bsM4Y36N/black#30,French_Defense French_Defense_Tarrasch_Variation
2w35D,8/8/1P3R2/3p2pP/6P1/4pk2/1r6/5K2 b - - 4 47,f3g4 h5h6 d5d4 h6h7,970,79,93,229,advancedPawn crushing endgame rookEndgame short,https://lichess.org/C05iDtMI/black#94,
H3gZ7,r1b1Qb1r/ppp3pp/2k2B2/4pP2/3qN3/3P4/P1P3PP/5R1K b - - 9 17,c6b6 f1b1 f8b4 e8h8,2259,90,90,973,crushing middlegame short,https://lichess.org/K7vDYz7x/black#34,Kings_Gambit Kings_Gambit_Other_variations
GCWHD,r6k/6p1/pq1N2Qp/8/2p5/P2p4/5nPP/5R1K w - - 5 31,f1f2 b6b1 f2f1 b1f1,1166,76,85,252,endgame master mate mateIn2 short,https://lichess.org/5Vj4KSIk#61,
WHv8C,2r2rk1/q4pp1/1pn1p2p/3pPnN1/3P2P1/P2QB3/5P1P/2R2RK1 b - - 0 20,f5e3 d3h7,1277,283,82,14,mate mateIn1 middlegame oneMove,https://lichess.org/caTFkBHI/black#40,
kJXeB,rnb4k/pp2pPb1/3p1B2/2p2P2/8/3P1R2/P1P3PP/1N4K1 b - - 0 21,b8d7 f3h3,851,82,82,68,mate mateIn1 middlegame oneMove,https://lichess.org/OraTeu5n/black#42,
te7yo,r4r1k/pppb1p2/8/4p1n1/8/2NB1P2/PPP5/2K4R b - - 1 25,g5h7 h1h7 h8g8 c3d5 f7f5 h7d7,2207,77,94,3815,advantage long middlegame,https://lichess.org/AS5BVvzr/black#50,
725wq,6k1/5p1p/5PpQ/2p1P3/1p5K/2Br3P/1Pb3P1/7q b - - 1 34,d3h3 g2h3 g6g5 h6g5 g8f8 g5g7,1520,75,94,774,crushing endgame long,https://lichess.org/ddLX24Nc/black#68,
Kl7Ps,8/2pk4/4b2R/2P1Pp2/1P1K4/5pP1/8/8 w - - 1 46,h6e6 f3f2 e6h6 f2f1q,1977,77,88,235,advancedPawn advantage endgame promotion rookEndgame short,https://lichess.org/AKjiVgWT#91,
hcpno,r3r3/pppk2pp/1b3p2/3P4/2nP4/2N1PN2/PP2R1PP/4R1K1 b - - 0 18,c4e3 e2e3 e8e3 e1e3,948,82,85,377,crushing middlegame short,https://lichess.org/xjh1Uc0p/black#36,Italian_Game Italian_Game_Other_variations
G4LE5,2r3rk/3R2p1/4p3/1p2P1RQ/1P5P/p3Pb2/P7/6K1 b - - 2 39,f3h5 g5h5,757,98,98,673,endgame mate mateIn1 oneMove,https://lichess.org/3U6mSkMj/black#78,
HinRs,2R5/5p1k/6pp/8/5q2/1P2r2P/2Q3P1/6K1 w - - 0 40,c8c7 e3e1,906,92,89,65,endgame mate mateIn1 oneMove,https://lichess.org/ZSMuArxR#79,
BSBGA,5N2/5Rp1/4P2p/3P4/8/1P1nk3/P6r/1K6 w - - 0 46,e6e7 h2h1 f7f1 h1f1 b1c2 f1c1,2034,80,80,76,endgame long mate mateIn3,https://lichess.org/lACS9m1B#91,
0b9Yz,8/p5pp/8/PP1k1p2/1P3P1P/3K1nP1/8/8 b - - 0 41,h7h5 a5a6 f3d4 b5b6 d4c6 b4b5,2199,100,100,28,advantage endgame knightEndgame long,https://lichess.org/4RyQYL8w/black#82,
dLUKG,6k1/p6p/2Bp2p1/1P1Pp3/2P1Nr1q/5P1b/4QP1P/5RK1 w - - 0 30,c4c5 f4e4 e2e4 h4g5 e4g4 h3g4,1699,75,92,5368,advantage kingsideAttack long master middlegame sacrifice,https://lichess.org/qOd2N1F9#59,
4fDWL,2r2rk1/1p2ppb1/p2p1n1p/q4PpP/Pn2P3/1PN2P2/1BPQ4/1K1R1B1R w - - 0 19,c3a2 c8c2 d2c2 b4c2,1168,76,96,1059,advantage middlegame short,https://lichess.org/FHsAMfuT#37,
E4XEI,2k1r3/Qqp2p1p/5p2/5P2/2Rp2P1/P2P3P/5K2/8 w - - 1 29,a7d4 b7h1 c4c7 c8c7,2257,76,93,2214,crushing endgame short,https://lichess.org/zqdm89Qm#57,
WOQjX,r3r1k1/pp5p/2n2B2/3q2bQ/8/3P4/PPP4P/1K4R1 b - - 0 25,h7h6 h5g6 g8f8 g6g7,1559,75,90,844,mate mateIn2 middlegame short,https://lichess.org/DlzM4DzI/black#50,
Et4Ou,2N3k1/1Rb3pp/p7/8/3P1rKB/7P/8/8 w - - 3 42,g4h5 g7g6 h5h6 f4h4,1440,76,92,620,advantage deflection endgame short,https://lichess.org/gyppuolR#83,
5uE8Y,5qk1/3Q1pp1/p6p/2p5/P2p4/1P3P1P/4rP2/3R2K1 b - - 0 26,e2b2 d1e1 b2b3 e1e8 b3b8 e8f8,1667,75,99,922,advantage endgame long pin quietMove,https://lichess.org/j3KTuBWA/black#52,
WyTzY,3r2k1/pp3ppp/8/7b/Q1PN4/P2P2Pq/5P2/R5K1 w - - 1 23,a4a7 h7h6 a1e1 d8d4 e1e8 g8h7 a7d4 h5f3 d4e4 f3e4,2360,89,90,753,crushing endgame quietMove sacrifice veryLong,https://lichess.org/1mguHJw1#45,
26iCa,r3r1k1/2p2p1p/1p1p2p1/pNnP1q2/2P5/1P5P/P2Q1PP1/2R1R1K1 b - - 1 22,c5d3 b5d4 e8e1 c1e1 f5f2 d2f2,2471,77,90,811,crushing long master middlegame,https://lichess.org/x7ETFrBZ/black#44,
h3o0b,8/4B3/p5p1/5p1p/2Pbk2P/1P6/4K1P1/8 b - - 0 33,d4e3 c4c5 e3f4 e7d6 e4d5 d6f4,1805,76,99,1057,bishopEndgame crushing endgame long quietMove,https://lichess.org/6vhofaxo/black#66,
hPZA4,8/p7/8/3PKp1k/8/1P4p1/P6p/2R5 w - - 0 41,d5d6 g3g2 d6d7 h2h1q c1h1 g2h1q d7d8q h1e4,2342,81,94,2851,advancedPawn crushing endgame master promotion rookEndgame veryLong,https://lichess.org/KFGBpe5U#81,
MbCt8,4r3/p7/2Pk1pp1/3n2p1/P1BP4/5NPP/5PK1/8 b - - 0 36,d6c6 c4b5 c6c7 b5e8,1051,89,76,37,advantage endgame master short skewer,https://lichess.org/Q0AO1PBd/black#72,
lOjG3,q7/5p2/8/5kP1/3P1N1P/4P1K1/5P2/8 b - - 16 52,a8h8 f2f3 h8e8 e3e4 e8e4 f3e4,1945,84,83,37,crushing endgame long quietMove,https://lichess.org/cWpacZ7N/black#104,
Sn2sZ,1r4k1/1P4bp/6p1/8/4p2N/2p3P1/5P1P/1R4K1 w - - 1 37,g1f1 g7h6 f2f4 e4f3,2137,78,84,492,crushing enPassant endgame quietMove short,https://lichess.org/2zg6oN3D#73,
WyXXb,8/4k3/p4p2/1p1p4/3NpN2/4PnP1/r7/1R4K1 w - - 2 39,g1f1 f3d2 f1e1 d2b1,905,85,97,2524,crushing endgame fork short,https://lichess.org/1g1lrlRM#77,
puPkW,2kr3r/nbpq2pp/1p2Rn2/p5N1/2P5/P1NB3P/1P3PP1/R2Q2K1 w - - 1 18,e6e5 d7d3 d1d3 d8d3,1120,76,81,375,crushing middlegame short,https://lichess.org/2g8yuJNA#35,Nimzowitsch_Defense Nimzowitsch_Defense_Scandinavian_Variation
zQviW,3r4/3P2p1/1R5p/5p2/3K1P2/2p4P/2k2P2/8 w - - 2 47,b6b7 c2d2 d4e5 c3c2,1257,79,94,549,advancedPawn crushing endgame master masterVsMaster rookEndgame short,https://lichess.org/GUYGQ0Is#93,
OeRrq,8/8/p1pbk3/1p3p1p/2PB4/1P3KPP/1P6/8 b - - 0 36,d6e5 d4e5 e6e5 c4b5 c6b5 b3b4,2557,88,78,196,endgame,https://lichess.org/cDJcznu9/black#72,
zx3No,8/8/4k3/1P1Np1p1/4P3/5K2/3b4/8 b - - 0 42,d2a5 b5b6 e6d7 b6b7 a5c7 d5b4 c7d6 b4a6,2785,112,91,317,advancedPawn crushing defensiveMove endgame quietMove veryLong,https://lichess.org/QI4VWDXa/black#84,
38JIr,1r5r/1pR2pk1/1P6/8/4B3/5P2/4n1PP/5R1K w - - 3 36,f1e1 h8h2 h1h2 b8h8 e4h7 h8h7,1558,81,91,2027,anastasiaMate attraction endgame long mate mateIn3 sacrifice,https://lichess.org/8fKbEBd0#71,
ZPooN,3r1k2/ppR2pp1/4pn1p/3rN2P/3P3R/P2K2P1/1P3P2/8 w - - 9 31,d3e3 d5e5 d4e5 f6d5 e3e2 d5c7,1540,74,94,8658,advantage endgame fork long sacrifice,https://lichess.org/YRxIEznj#61,
QRzuI,r2q2rk/ppp1nppp/3b1n2/3pNbB1/3P1PP1/2PB1N1P/PP6/R2Q1RK1 b - - 0 14,f5d3 e5f7,913,78,100,518,kingsideAttack mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/bfpFIVQQ/black#28,French_Defense French_Defense_Exchange_Variation
VNEyF,2r3k1/1R3ppp/4pbq1/3p4/6R1/4BQP1/5PK1/r7 b - - 5 31,g6h5 g4g7 f6g7 f3h5,1469,79,93,3653,crushing discoveredAttack middlegame short,https://lichess.org/2d98XCfv/black#62,
R66Pz,2Qbk2r/p3rp2/3p3p/3q4/3P4/7P/PP4P1/R1B1R1K1 w k - 3 24,c1d2 d5d4 g1h1 d4d2 e1e7 e8e7,1452,78,97,7259,advantage fork long middlegame,https://lichess.org/XYReGteB#47,
csV9z,r3r1k1/1b1qbp1N/p1p1pBp1/P1p5/3pQ3/1P1P4/2P2PPP/1R2R1K1 b - - 0 29,g8h7 e4h4 h7g8 h4h8,920,77,100,282,mate mateIn2 middlegame short,https://lichess.org/QuP8oHwQ/black#58,
Q805L,8/8/4k3/4r1p1/4K3/5P2/3R4/8 w - - 9 60,e4d4 e6f5 d2a2 f5f4 a2a7 e5f5,1891,240,100,10,clearance crushing defensiveMove endgame long rookEndgame,https://lichess.org/INjBJT1m#119,
vFar9,4r1k1/2p5/bp1p2pQ/p2P1p2/6PP/1Pq2P2/P1B2R2/2R1r1K1 w - - 1 28,c1e1 c3e1 g1g2 a6f1 g2g3 f5f4 h6f4 e8e2,2271,87,73,33,crushing exposedKing kingsideAttack middlegame veryLong,https://lichess.org/hVgypVdB#55,
3kZDC,1Bb2rk1/p2pppbp/2p3p1/q7/4n3/1PNB4/P1PQ1PPP/2KR3R w - - 0 13,c3e4 a5a3 c1b1 a3b2,1363,76,96,2426,mate mateIn2 middlegame queensideAttack short,https://lichess.org/gTum7Bn7#25,London_System London_System_Other_variations
RSR93,8/p7/7p/1P2k1pK/P4p2/4bB2/6P1/8 w - - 6 59,h5h6 g5g4 b5b6 a7b6,1965,76,82,88,bishopEndgame crushing endgame short,https://lichess.org/aZarbLGY#117,
3FktM,7k/1R4pq/p3p2p/P1ppP3/B2b4/3P2QP/2P3PK/5r2 b - - 2 31,f1f5 b7b8 h7g8 b8g8,1013,89,93,657,crushing endgame kingsideAttack short,https://lichess.org/IFe7PZcR/black#62,
gJYCB,2r2rk1/4b1pp/p2pb1P1/4p3/q3PP2/1N1QB3/PpP5/1K1R3R b - - 0 24,e5f4 h1h7 f8f6 e4e5,2091,89,90,671,advantage middlegame short,https://lichess.org/O6bsOfEl/black#48,
C3OXS,rnb1k1nr/pppp1ppp/8/2b1N3/4P2q/8/PPPP1PPP/RNBQKB1R w KQkq - 1 4,d2d3 h4f2,804,90,86,306,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/rD8z10Qe#7,Kings_Pawn_Game Kings_Pawn_Game_Busch-Gass_Gambit
2hBUf,6k1/1p1r2p1/5qQp/2P5/1P6/8/1B4PP/5R1K w - - 0 42,f1f6 d7d1 f6f1 d1f1,603,93,75,103,backRankMate endgame mate mateIn2 short,https://lichess.org/SqVvGfh2#83,
37fjT,4r3/5pk1/1p3n2/p3q2p/1bP1p2P/4P1N1/R4PB1/3Q2K1 b - - 0 37,b4d6 d1d6 e5d6 g3f5 g7g6 f5d6,1829,78,81,42,advantage attraction fork long middlegame sacrifice,https://lichess.org/Ttuv0J3N/black#74,
sQuWI,8/p5kp/1p1PQ1p1/6q1/2P5/6K1/P5P1/8 w - - 9 40,g3f2 g5f6 e6f6 g7f6 d6d7 f6e7,1968,75,90,1155,crushing endgame long queenEndgame,https://lichess.org/4F2V3pYi#79,
zKLho,r1b2rk1/ppq1bppp/5n2/2p3N1/3P1P2/P1NQB3/6PP/4R1K1 b - - 1 19,c5d4 c3d5 c8f5 d3f5 g7g6 f5h3,2609,102,90,196,advantage long middlegame,https://lichess.org/9yyjopVd/black#38,
bFnRG,8/2b2r2/pN4kp/P1P5/4pP2/4B3/5P1P/6K1 b - - 0 42,c7f4 e3f4 f7f4 c5c6,1954,77,97,956,crushing endgame master short,https://lichess.org/pefJGfXi/black#84,
9VZoW,1rr3k1/3q2b1/p2p2PB/3P1p2/b3p1P1/Q2B1P2/PPP5/2KR3R w - - 0 28,f3e4 g7b2 a3b2 b8b2 c1b2 d7c7,2741,121,89,806,crushing fork long middlegame,https://lichess.org/KDNrFeW1#55,
bUeeU,6k1/R1p5/1pNp4/3P1rp1/2P2p2/3nrN1P/6P1/6K1 b - - 3 35,d3e5 c6e7 g8f8 e7f5,968,338,0,3,crushing endgame fork short,https://lichess.org/X2s018wD/black#70,
6hvoJ,5r2/1k1p4/3Qp3/p1Pq4/Pp6/1P3nP1/5PKP/5R2 w - - 3 44,d6f8 f3e1 g2g1 d5g2,2071,78,90,433,doubleCheck endgame mate mateIn2 short,https://lichess.org/Sv8wZZd4#87,
20x6x,6r1/1k4p1/2q5/1pP3p1/2pQ2P1/3n3P/1P3B2/R5K1 w - - 0 35,b2b3 d3f4 d4f4 g5f4,1981,75,89,257,crushing endgame short,https://lichess.org/YQdP0QT8#69,
kf4mQ,2kr3r/Qpp2pRp/3p4/5P1b/6P1/2P1B3/PKP4P/7q b - - 1 20,h8g8 g7g8 d8g8 a7a8 c8d7 a8g8,1696,74,98,388,advantage long middlegame skewer,https://lichess.org/8YNRspuq/black#40,
qjZIs,3r1b1k/p3q2p/2Q3p1/2P1p3/1P3p1P/4B3/P4PP1/R5K1 w - - 0 27,e3c1 d8d1 g1h2 e7h4,920,105,96,388,endgame mate mateIn2 short,https://lichess.org/NWSTIGOF#53,
2tnzX,8/8/3P4/2K2k2/4p3/8/8/8 b - - 0 74,f5e6 c5c6 e6f7 d6d7 f7e7 c6c7,1039,86,91,613,advancedPawn crushing defensiveMove endgame long pawnEndgame,https://lichess.org/YPlO6izn/black#148,
ZnZ8A,6k1/R1R2rpp/4K3/4p3/5p2/4r3/2P5/8 b - - 11 41,f7c7 a7a8 c7c8 a8c8,1374,103,64,28,endgame master mate mateIn2 rookEndgame short,https://lichess.org/honLmAJs/black#82,
j1Oxd,4r3/pp3k2/2p2p1p/3p4/3P1R2/1P4B1/P1Bb2PP/5K2 w - - 1 32,f4f2 e8e1,624,95,100,45,endgame mate mateIn1 oneMove,https://lichess.org/rhtYy7Je#63,
4Nnx0,6rk/p4pqp/2p3r1/4b3/4Qp2/1PP2P1P/1P2N1P1/R5RK w - - 1 27,e2f4 e5f4 e4f4 g6g2,1342,76,100,441,advantage middlegame short,https://lichess.org/onZ4BbPw#53,
UEZoO,r3k2r/ppp2pp1/2p1b1q1/8/4P3/4B1Np/PPP2PP1/R2QR1K1 w kq - 4 17,g3f5 g6g2,633,81,100,444,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/InW5v5r9#33,Petrovs_Defense Petrovs_Defense_Stafford_Gambit
7HaH2,r5k1/ppN2pbp/6p1/4p3/8/1b1RP2P/1P3PPB/6K1 b - - 1 24,b3c2 d3d2 a8c8 d2c2,2340,78,87,305,advantage endgame short,https://lichess.org/I0ydpxdv/black#48,
AHK37,8/5kpR/1p2np2/8/7P/1r6/3PK3/6R1 w - - 5 32,h4h5 e6f4 e2f2 f4h3,1328,79,55,98,crushing endgame master short,https://lichess.org/jtQrypQU#63,
kan1S,8/5k2/2R5/p3Kp1N/2P4P/2n1p1P1/P4r2/8 w - - 0 49,h5f4 f2f4 c6f6 f7g7,1861,79,92,4020,crushing endgame short,https://lichess.org/t1uByUj2#97,
HmjIh,r2k3r/1ppn1qp1/p1n2p1p/3N3R/3pPNP1/1Q6/PPP5/2K1R3 b - - 5 23,h8e8 b3b7 a8a7 b7c6,1568,74,94,20067,crushing fork middlegame short,https://lichess.org/W9PZNSRy/black#46,
rfau1,r1b2rk1/ppp2ppp/2n5/6q1/2BNP1n1/2B5/PPP1QPPP/2KR3R w - - 1 13,c3d2 c6d4 d2g5 d4e2 c4e2 g4f2,1141,77,95,5641,advantage hangingPiece long middlegame,https://lichess.org/X7mP19L9#25,Russian_Game Russian_Game_Modern_Attack
SzkoP,r1b2rk1/pp3ppp/2n1p3/3q4/3P4/5N2/P4PPP/1BRQ1RK1 b - - 4 15,b7b6 d1c2 g7g6 c2c6 d5c6 c1c6,2003,75,94,7005,crushing long middlegame,https://lichess.org/rmIGwO7J/black#30,Caro-Kann_Defense Caro-Kann_Defense_Panov_Attack
Bwr9x,6k1/3pRpbp/1pq3p1/npp3N1/5P2/2P2P2/PP4KP/R1B5 b - - 2 21,c6f6 e7e8 g7f8 e8f8 g8f8 g5h7 f8e7 h7f6,1102,79,89,959,advantage attraction deflection fork middlegame veryLong,https://lichess.org/yYtOEPIP/black#42,
8DMPy,8/1pp5/p3p3/P3P3/1PKPk3/8/8/8 w - - 1 37,c4c3 e4d5 c3d3 b7b5 d3e3 d5c4 e3e4 c7c6,2691,99,93,677,crushing defensiveMove endgame pawnEndgame quietMove veryLong,https://lichess.org/CbE6vG5k#73,
nviEr,3rrkqQ/pp4p1/2p2R2/3p4/3P4/7R/PPP3P1/6K1 b - - 0 29,g7f6 h8f6 g8f7 h3h8,1171,83,94,9720,endgame killBoxMate mate mateIn2 short,https://lichess.org/IYvyHu2V/black#58,
lTOyk,6k1/R4p2/2p3p1/8/1P1nP3/5P1P/PKB3r1/8 w - - 1 32,b2c3 d4b5 c3d3 b5a7,1546,75,86,1243,advantage endgame fork short,https://lichess.org/FtmrGA1j#63,
gaa59,5rk1/pp1b2p1/2p1p2p/2PpPpn1/3P2q1/3BP3/PPQ3PP/R4RK1 w - - 0 21,c2f2 g5h3 g1h1 h3f2,1123,81,94,4927,crushing kingsideAttack master middlegame pin short,https://lichess.org/504a8vnT#41,
GBHHz,8/7p/p4k2/1p6/1R1K4/2P4r/PP6/8 w - - 0 41,a2a4 h3h4 d4c5 h4b4 c3b4 h7h5 a4b5 a6b5,2097,76,92,4636,crushing endgame quietMove rookEndgame veryLong,https://lichess.org/YPf8qQEg#81,
uUduP,r2k3r/3Ppp1p/pq4pb/1p6/5Pn1/8/PPPQ1P1P/2KR1B1R b - - 0 17,b6f2 d2a5 f2b6 a5b6,1143,82,89,99,mate mateIn2 middlegame short,https://lichess.org/XGsPw65K/black#34,Modern_Defense Modern_Defense_Two_Knights_Variation
h6Cva,5r2/5Npk/4p1Qp/2p4P/p7/3PP3/q1r3P1/5RK1 b - - 2 39,h7g8 f7h6 g8h8 f1f8,1109,76,100,274,deflection discoveredAttack endgame mate mateIn2 pin short,https://lichess.org/fUx8X1pr/black#78,
BAZp9,8/8/7p/p5p1/1bBkP1P1/5K1P/1P6/8 w - - 1 40,b2b3 a5a4 b3a4 d4c4,1453,78,97,4822,bishopEndgame crushing deflection endgame short,https://lichess.org/ybFnfd10#79,
8bhJL,1k1Rr3/bpp2pnp/2p4p/p4B2/2b1PP2/P1N2K2/1PP4P/3R4 b - - 8 26,e8d8 d1d8,580,112,76,45,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/TYYnRITr/black#52,
idhNh,8/r5p1/p1R5/1p3p1k/8/P4KPP/1P6/8 b - - 1 34,g7g5 g3g4 f5g4 h3g4 h5h4 c6h6,963,86,79,100,endgame long mate mateIn3 rookEndgame,https://lichess.org/v4LVhAsN/black#68,
VkhCW,2rr2k1/Q4bpp/2q2p2/2P1pN2/8/5P1P/P4BP1/2R4K b - - 0 30,c8a8 f5e7 g8f8 e7c6,981,76,79,291,crushing fork middlegame short,https://lichess.org/zUDuPtHC/black#60,
LgbmD,k7/2p3b1/B1Pp1p2/6pp/R7/5P2/5KPP/1r2r3 b - - 1 31,e1c1 a6b7 a8b8 a4a8,1620,76,30,140,discoveredCheck doubleCheck endgame mate mateIn2 operaMate short,https://lichess.org/zMVya7lG/black#62,
7KBc7,8/6p1/1pp1kp2/8/1PP1K1P1/7P/8/8 b - - 2 37,c6c5 b4c5 b6c5 h3h4,2153,82,97,720,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/e7giHZVU/black#74,
twiPd,1r1r2k1/4bppp/pn2p3/2p5/P1N3P1/RpPP1K2/1P1B1P1P/3R4 w - - 5 24,a3b3 b6c4 b3b8 c4d2 d1d2 d8b8,1736,75,93,6510,crushing long master middlegame,https://lichess.org/04xQYJvo#47,
22AWv,r4rk1/pp2b2p/1qn1b3/3pp1n1/6P1/1P3N1P/PB1QBPK1/R4N1R w - - 4 21,f3g5 b6f2,1191,77,85,114,mate mateIn1 middlegame oneMove swallowstailMate,https://lichess.org/xAVmRlbX#41,
JgoiT,r4rk1/pp1n1pp1/2pbp2p/3q4/8/3BBP2/PP2Q1PP/R2R3K b - - 5 17,d5e5 f3f4 e5f6 d3c2 d6c5 d1d7,2524,95,90,1057,advantage discoveredAttack long middlegame quietMove,https://lichess.org/7kE3Y3xX/black#34,Caro-Kann_Defense Caro-Kann_Defense_Ulysses_Gambit
uiI8q,r2r2k1/1p2qppp/2p1p3/b3N3/p2P4/P5RP/2P1QPP1/R5K1 b - - 0 27,d8d4 e5c6 b7c6 e2e5 f7f6 e5d4,2140,77,91,512,advantage clearance long middlegame sacrifice,https://lichess.org/l0UfT5yO/black#54,
401oh,r1bq1rk1/2p1bppp/p1np1n2/1p6/3pP3/1BN2N2/PPP2PPP/R1BQR1K1 w - - 0 10,f3d4 c6d4 d1d4 c7c5,1328,75,89,2930,advantage master opening short,https://lichess.org/2ewS5HEs#19,Ruy_Lopez Ruy_Lopez_Morphy_Defense
sKvuV,5rk1/1p2b1p1/4PpQp/p2p3P/3R4/3KR3/PP3qP1/8 b - - 1 30,f2b2 e3g3 b2b1 d3e2,2289,82,81,65,advantage defensiveMove endgame master quietMove short,https://lichess.org/NeX5Qrlo/black#60,
ERZl0,r6k/1bp2p2/pp1p2qp/6N1/4Pp2/1PPP4/1PK3Q1/7R b - - 0 34,f7f6 h1h6 g6h6 g5f7 h8h7 f7h6,1395,80,93,968,advantage attraction endgame exposedKing fork long sacrifice,https://lichess.org/3qnhHzMk/black#68,
Y0BvR,3r2k1/ppQ2ppp/b5r1/8/5P2/1P3B2/PBP2P1P/6K1 w - - 1 23,f3g2 d8d1,662,96,100,223,endgame mate mateIn1 oneMove,https://lichess.org/s7hAPwkt#45,
vwjbv,8/1p5k/p4p2/5P2/1q2P1b1/1P1Q3p/P2K1R2/8 w - - 4 48,d2c2 b4c5 d3c4 c5f2,1149,76,97,1895,crushing endgame fork short,https://lichess.org/uPfvaLJG#95,
v8GDC,4r1k1/1R3p1p/p2p2p1/3P4/2nN4/2P5/P4PPP/5K2 w - - 1 26,b7a7 c4d2 f1g1 e8e1,869,95,94,470,backRankMate endgame mate mateIn2 short,https://lichess.org/plVwr8JK#51,
gavuQ,2r3k1/1ppq1pp1/p2b3p/3P4/4Q3/6B1/PP3PPP/4R1K1 b - - 0 22,c8e8 e4e8 d7e8 e1e8,621,93,57,75,crushing endgame kingsideAttack master short,https://lichess.org/NQDQYdIN/black#44,
uXfB5,8/5r1p/8/5Np1/6P1/3k2KP/8/8 b - - 7 62,d3e4 f5d6 e4e5 d6f7,685,83,60,72,crushing endgame fork short,https://lichess.org/9DTgLc8m/black#124,
UKhQh,8/4pk2/2Np1p2/p2P4/P3PK2/1PQ2P2/8/6q1 w - - 4 42,c3a5 g1g5,1104,77,88,256,endgame mate mateIn1 oneMove,https://lichess.org/cpVEM3Pq#83,
5xvFZ,6k1/R5pp/2b5/2p1r3/2P5/1P4PP/P4P2/6K1 w - - 1 30,a7c7 e5e1 g1h2 e1h1,538,101,100,228,endgame mate mateIn2 operaMate short,https://lichess.org/yU9Jbzpt#59,
Sznxs,r1bq1r2/ppp3pk/4p2p/4p2Q/3PP3/2P3R1/PP4PP/2R3K1 b - - 1 20,e5d4 h5g6 h7h8 g6g7,940,93,94,176,mate mateIn2 middlegame short,https://lichess.org/BYgQmOXQ/black#40,
kWY4o,8/p5k1/1p4R1/3q1BP1/1P2p3/8/5PP1/6K1 b - - 1 42,g7f7 f5e6 f7g6 e6d5,852,77,100,549,crushing endgame fork short,https://lichess.org/nM9SM4oY/black#84,
